icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
885177,THA931  ,Thailand,1775071754.0,1775071754,78.9598,26.9024,10668.0,False,263.69,128.35,0.0,,11079.48,,False,0
88044a,AIQ121  ,Thailand,1775071754.0,1775071754,88.7352,22.3635,3634.74,False,159.28,155.17,11.38,,3756.66,0454,False,0
880457,AIQ196  ,Thailand,1775071754.0,1775071754,79.9053,11.8303,10972.8,False,214.39,256.96,0.0,,11681.46,,False,0
4b1880,,Switzerland,1775071754.0,1775071754,72.8232,19.0883,548.64,False,86.95,269.32,12.68,,-45.72,,False,0
3c6707,DLH773  ,Germany,1775071754.0,1775071754,81.044,26.6588,11582.4,False,223.06,306.84,0.0,,12024.36,0707,False,0
3c64f4,DLH756  ,Germany,1775071754.0,1775071754,73.0104,19.0907,754.38,False,99.81,269.41,-5.53,,716.28,,False,0
7584a9,CEB740  ,Philippines,1775071754.0,1775071754,95.1361,14.8502,10972.8,False,240.82,283.59,0.0,,11612.88,,False,0
04c045,KQA202  ,Kenya,1775071751.0,1775071751,72.6964,18.8445,4152.9,False,156.49,79.39,-8.78,,4335.78,,False,0
151d76,AZV2528 ,Russian Federation,1775071754.0,1775071754,97.9059,14.6319,9753.6,False,12.44,7.13,0.0,,8793.48,,False,0
4007f0,BAW2230 ,United Kingdom,1775071754.0,1775071754,78.1441,27.4761,10363.2,False,233.81,308.03,0.0,,10751.82,6113,False,0
7822db,CCA426  ,China,1775071754.0,1775071754,91.6243,22.2811,10668.0,False,273.1,96.92,0.0,,11193.78,7373,False,0
880852,AIQ147  ,Thailand,1775071754.0,1775071754,88.8885,21.1158,10668.0,False,251.55,123.66,0.33,,11216.64,3315,False,0
77181f,EXV911  ,Sri Lanka,1775071754.0,1775071754,89.5848,23.3406,6492.24,False,236.31,57.17,-6.83,,6804.66,7364,False,0
781230,CES2052 ,China,1775071733.0,1775071740,70.2115,18.5739,11277.6,False,276.56,78.08,0.0,,11818.62,,False,0
88812c,HVN984  ,Viet Nam,1775071754.0,1775071754,88.4529,22.1276,10142.22,False,257.57,44.19,6.5,,10629.9,1152,False,0
